Name,Type,County,Official_URL,ID,Vendor,API_Endpoint,Scrape_Target
Aberdeen,City,Grays Harbor,https://www.aberdeenwa.gov/,aberdeen,CivicPlus/CivicWeb,https://www.aberdeenwa.gov/,https://www.aberdeenwa.gov/
Airway Heights,City,Spokane,https://cawh.org/,airwayheights,Custom/Unknown,https://cawh.org/,Manual Review Required
Albion,City,Whitman,,albion,Unknown,None,None
Algona,City,King,https://www.algonawa.gov/,algona,Custom/Unknown,https://www.algonawa.gov/,https://www.algonawa.gov/community/advisory_boards_and_commissions/junior_council/index.php
Almira,City,Lincoln,http://www.almirawashington.com/,almira,Unreachable,http://www.almirawashington.com/,None
Anacortes,City,Skagit,https://www.anacorteswa.gov/,anacortes,CivicPlus/CivicWeb,https://www.anacorteswa.gov/,https://www.anacorteswa.gov/
Arlington,City,Snohomish,https://www.arlingtonwa.gov/,arlington,CivicPlus/CivicWeb,https://www.arlingtonwa.gov/,https://www.arlingtonwa.gov/
Asotin,City,Asotin,https://cityofasotin.org/,asotin,Custom/Unknown,https://cityofasotin.org/,Manual Review Required
Auburn,City,King/Pierce,https://www.auburnwa.gov/,auburn,Custom/Unknown,https://www.auburnwa.gov/,https://www.auburnwa.gov/city_hall/agendas___minutes
Bainbridge Island,City,Kitsap,https://www.bainbridgewa.gov/,bainbridgeisland,CivicPlus/CivicWeb,https://www.bainbridgewa.gov/,https://www.bainbridgewa.gov/
Battle Ground,City,Clark,https://www.cityofbg.org/,battleground,CivicPlus/CivicWeb,https://www.cityofbg.org/,https://www.cityofbg.org/
Beaux Arts Village,City,King,https://www.beauxarts-wa.gov/,beauxartsvillage,Custom/Unknown,https://www.beauxarts-wa.gov/,https://www.beauxarts-wa.gov/mayor-and-council
Bellevue,City,King,https://bellevuewa.gov/,bellevue,Legistar,https://webapi.legistar.com/v1/bellevue/events,https://webapi.legistar.com/v1/bellevue/events
Bellingham,City,Whatcom,https://cob.org/,bellingham,Custom/Unknown,https://cob.org/,Manual Review Required
Benton City,City,Benton,https://www.ci.benton-city.wa.us/,bentoncity,Custom/Unknown,https://www.ci.benton-city.wa.us/,Manual Review Required
Bingen,City,Klickitat,https://www.bingenwashington.org/,bingen,CivicPlus/CivicWeb,https://www.bingenwashington.org/,https://www.bingenwashington.org/
Black Diamond,City,King,https://www.blackdiamondwa.gov/,blackdiamond,CivicPlus/CivicWeb,https://www.blackdiamondwa.gov/,https://www.blackdiamondwa.gov/
Blaine,City,Whatcom,https://www.ci.blaine.wa.us/,blaine,Unreachable,https://www.ci.blaine.wa.us/,None
Bonney Lake,City,Pierce,https://www.ci.bonney-lake.wa.us/,bonneylake,CivicPlus/CivicWeb,https://www.bonneylake.gov,https://www.bonneylake.gov
Bothell,City,King/Snohomish,https://www.bothellwa.gov/,bothell,CivicPlus/CivicWeb,https://www.bothellwa.gov/,https://www.bothellwa.gov/
Bremerton,City,Kitsap,https://www.bremertonwa.gov/,bremerton,CivicPlus/CivicWeb,https://www.bremertonwa.gov/,https://www.bremertonwa.gov/
Brewster,City,Okanogan,https://www.cityofbrewsterwashington.org/,brewster,Custom/Unknown,https://www.cityofbrewsterwashington.org/,https://www.cityofbrewsterwashington.org/government/agendas_minutes.php
Bridgeport,City,Douglas,https://bridgeportwashington.net/,bridgeport,Custom/Unknown,https://bridgeportwashington.net/,https://bridgeportwashington.net/city-council/
Brier,City,Snohomish,http://www.ci.brier.wa.us/,brier,Custom/Unknown,http://www.ci.brier.wa.us/,http://www.ci.brier.wa.us/cityhall/boards.htm
Buckley,City,Pierce,https://www.cityofbuckley.com/,buckley,CivicPlus/CivicWeb,https://www.cityofbuckley.com/,https://www.cityofbuckley.com/
Bucoda,City,Thurston,https://www.bucoda.us/,bucoda,Custom/Unknown,https://www.bucoda.us/,Manual Review Required
Burien,City,King,https://www.burienwa.gov/,burien,Custom/Unknown,https://www.burienwa.gov/,https://www.burienwa.gov/city_hall/city_council/city_council_meeting_access
Burlington,City,Skagit,https://burlingtonwa.gov/,burlington,CivicPlus/CivicWeb,https://burlingtonwa.gov/,https://burlingtonwa.gov/
Camas,City,Clark,https://www.cityofcamas.us/,camas,Unreachable,https://www.cityofcamas.us/,None
Carbonado,City,Pierce,https://www.carbonado.org/,carbonado,Custom/Unknown,https://www.carbonado.org/,https://www.carbonado.org/meeting-minutes
Carnation,City,King,https://www.carnationwa.gov/,carnation,MuniCode,https://www.carnationwa.gov/,https://www.carnationwa.gov/
Cashmere,City,Chelan,https://www.cityofcashmere.org/,cashmere,Custom/Unknown,https://www.cityofcashmere.org/,Manual Review Required
Castle Rock,City,Cowlitz,https://ci.castle-rock.wa.us/,castlerock,Custom/Unknown,https://ci.castle-rock.wa.us/,https://ci.castle-rock.wa.us/government.htm
Cathlamet,City,Wahkiakum,https://www.townofcathlamet.com/,cathlamet,Custom/Unknown,https://www.townofcathlamet.com/,https://www.townofcathlamet.com/agendas-minutes
Centralia,City,Lewis,https://www.cityofcentralia.com/,centralia,CivicPlus/CivicWeb,https://www.cityofcentralia.com/,https://www.cityofcentralia.com/
Chehalis,City,Lewis,https://www.ci.chehalis.wa.us/,chehalis,Custom/Unknown,https://www.ci.chehalis.wa.us/,Manual Review Required
Chelan,City,Chelan,https://cityofchelan.gov,chelan,CivicPlus/CivicWeb,https://cityofchelan.gov/,https://cityofchelan.gov/
Cheney,City,Spokane,https://www.cityofcheney.org/,cheney,CivicPlus/CivicWeb,https://www.cityofcheney.org/,https://www.cityofcheney.org/
Chewelah,City,Stevens,https://www.cityofchewelah.org/,chewelah,CivicPlus/CivicWeb,https://www.cityofchewelah.org/,https://www.cityofchewelah.org/
Clarkston,City,Asotin,https://clarkston-wa.com/,clarkston,Custom/Unknown,https://clarkston-wa.com/,https://clarkston-wa.com/departments/city-clerk/#archive-row
Cle Elum,City,Kittitas,https://cleelum.gov/,cleelum,Custom/Unknown,https://cleelum.gov/,https://cleelum.gov/boards-commissioners/planning-commission/planning-commission-meeting-agenda-and-minutes/
Clyde Hill,City,King,https://www.clydehill.org/,clydehill,Custom/Unknown,https://www.clydehill.org/,https://www.clydehill.org/government/officials/boards_commissions/index.php
Colfax,City,Whitman,https://www.colfaxwa.org/,colfax,Custom/Unknown,https://www.colfaxwa.org/,https://www.colfaxwa.org/city-council
College Place,City,Walla Walla,https://www.cpwa.us/,collegeplace,BoardDocs,https://www.cpwa.us/,https://www.cpwa.us/
Colton,City,Whitman,http://www.coltonwashington.us/,colton,Custom/Unknown,http://www.coltonwashington.us/,https://www.coltonwashington.us/your-government/town-hall/minutes/
Colville,City,Stevens,https://www.colville.wa.us/,colville,Custom/Unknown,https://www.colville.wa.us/,Manual Review Required
Conconully,City,Okanogan,http://townofconconully.com/,conconully,Custom/Unknown,http://townofconconully.com/,http://townofconconully.com/towncouncil.htm
Concrete,City,Skagit,https://www.townofconcrete.com/,concrete,Custom/Unknown,https://www.townofconcrete.com/,https://www.townofconcrete.com/town-of-concrete-town-council-meeting-may-11-2026/
Connell,City,Franklin,https://www.cityofconnell.com/,connell,Custom/Unknown,https://www.cityofconnell.com/,https://www.cityofconnell.com/boards
Cosmopolis,City,Grays Harbor,https://www.cosmopoliswa.gov/,cosmopolis,MuniCode,https://www.cosmopoliswa.gov/,https://www.cosmopoliswa.gov/
Coulee City,City,Grant,https://couleecitywa.org/,couleecity,Custom/Unknown,https://couleecitywa.org/,https://couleecitywa.org/news-detail?item_id=33257
Coulee Dam,City,Douglas/ Grant/ Okanogan,https://townofcouleedam.org/,couleedam,Custom/Unknown,https://townofcouleedam.org/,https://townofcouleedam.org/meeting-minutes
Coupeville,City,Island,https://townofcoupeville.org/,coupeville,Custom/Unknown,https://townofcoupeville.org/,https://townofcoupeville.org/government/boards-commissions/
Covington,City,King,https://www.covingtonwa.gov/,covington,Custom/Unknown,https://www.covingtonwa.gov/,https://www.covingtonwa.gov/city_departments/executive/cityclerk/agendaandminutes.php
Creston,City,Lincoln,,creston,Unknown,None,None
Cusick,City,Pend Oreille,https://www.townofcusick.com/,cusick,Custom/Unknown,https://www.townofcusick.com/,Manual Review Required
Darrington,City,Snohomish,https://townofdarrington.com/,darrington,Custom/Unknown,https://townofdarrington.com/,https://townofdarrington.com/meetings-and-agendas/
Davenport,City,Lincoln,https://www.davenportwa.us/,davenport,Custom/Unknown,https://www.davenportwa.us/,https://www.davenportwa.us/index.asp?SEC=2FAA093E-EC07-4AF4-9E6E-537AD4A3B16F&Type=B_BASIC
Dayton,City,Columbia,https://www.daytonwa.com/,dayton,CivicPlus/CivicWeb,https://www.daytonwa.com/,https://www.daytonwa.com/
Deer Park,City,Spokane,https://www.cityofdeerparkwa.com/,deerpark,Custom/Unknown,https://www.cityofdeerparkwa.com/,https://www.cityofdeerparkwa.com/council-meetings
Des Moines,City,King,https://www.desmoineswa.gov/,desmoines,Custom/Unknown,https://www.desmoineswa.gov/,https://www.desmoineswa.gov/your_government/city_council/n_e_w_-_2026_city_council_agenda___minutes
