ID,Name,CivicWeb_URL,Prefix
bothell,Bothell,https://bothell.civicweb.net/Portal/MeetingTypeList.aspx,bothell
clydehill,Clyde Hill,https://clydehill.civicweb.net/Portal/MeetingTypeList.aspx,clydehill
desmoines,Des Moines,https://desmoines.civicweb.net/Portal/MeetingTypeList.aspx,desmoines
farmington,Farmington,https://farmington.civicweb.net/Portal/MeetingTypeList.aspx,farmington
hamilton,Hamilton,https://hamilton.civicweb.net/Portal/MeetingTypeList.aspx,hamilton
lacenter,La Center,https://lacenter.civicweb.net/Portal/MeetingTypeList.aspx,lacenter
millcreek,Mill Creek,https://millcreek.civicweb.net/Portal/MeetingTypeList.aspx,millcreek
oceanshores,Ocean Shores,https://oceanshores.civicweb.net/Portal/MeetingTypeList.aspx,oceanshores
pasco,Pasco,https://pasco.civicweb.net/Portal/MeetingTypeList.aspx,pasco
riverside,Riverside,https://riverside.civicweb.net/Portal/MeetingTypeList.aspx,riverside
waverly,Waverly,https://waverly.civicweb.net/Portal/MeetingTypeList.aspx,waverly
woodland,Woodland,https://woodland.civicweb.net/Portal/MeetingTypeList.aspx,woodland
kingcounty,King County,https://king.civicweb.net/Portal/MeetingTypeList.aspx,king
